,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
617,762,CLV,Clover Corporation Ltd,Materials,$166.44 M,CLV.AX,-44.9,0.39402334958455054
618,763,SFX,Sheffield Resources Ltd,Materials,$166.36 M,SFX.AX,50.0,0.4976807748385997
619,764,EXP,Experience Co Ltd,Consumer Discretionary,$165.5 M,EXP.AX,-23.96,0.5380030570655634
620,765,GSS,Genetic Signatures Ltd,Health Care,$164.89 M,GSS.AX,0.88,0.5482133086974259
621,766,MVE,Vaneck S&P/ASX Midcap ETF,Financials,$164.69 M,MVE.AX,-7.15,0.17189887498444054
622,767,SLH,Silk Logistics Holdings Ltd,Industrials,$163.74 M,SLH.AX,4.0,0.305727133400443
623,768,JRL,Jindalee Resources Ltd,Materials,$163.53 M,JRL.AX,11.77,0.7901284066395724
624,769,X64,Ten Sixty Four Ltd,Materials,$162.99 M,X64.AX,-12.27,0.41513377706845156
625,770,AVG,Australian Vintage Ltd,Consumer Staples,$162.95 M,AVG.AX,-18.75,0.3045203832052583
626,772,EWC,Energy World Corporation Ltd,Utilities,$161.7 M,EWC.AX,-24.39,0.44670952084343696
627,773,NXS,Next Science Ltd,Health Care,$161.09 M,NXS.AX,-47.55,0.49651143083732174
628,775,CTT,Cettire Ltd,Consumer Discretionary,$160.12 M,CTT.AX,-84.33,1.017695983062254
629,776,ORR,Orecorp Ltd,Materials,$159.6 M,ORR.AX,-49.37,0.5159317220616463
630,777,PEN,Peninsula Energy Ltd,Energy,$159.57 M,PEN.AX,3.23,0.9388524973098996
631,779,EEG,Empire Energy Group Ltd,Energy,$159.4 M,EEG.AX,-35.39,0.5684478510064638
632,780,3DP,Pointerra Ltd,Information Technology,$159.28 M,3DP.AX,-51.04,0.8071869016343359
633,781,SHA,Shape Australia Corporation Ltd,Industrials,$157.33 M,SHA.AX,-3.57,0.297518871514169
634,782,BKY,Berkeley Energia Ltd,Energy,$156.03 M,BKY.AX,-38.05,1.0186519139059917
635,784,IXR,Ionic Rare EARTHS Ltd,Materials,$154.9 M,IXR.AX,73.91,0.8310736268901137
636,785,FEX,FENIX Resources Ltd,Materials,$154.86 M,FEX.AX,-11.77,0.6209006539406996
637,787,PET,Phoslock Environmental Technologies Ltd,Industrials,$152.98 M,PET.AX,0.0,0.0
638,788,CII,Ci Resources Ltd,Materials,$152.57 M,CII.AX,10.0,0.5234580438279811
639,789,GNX,GENEX Power Ltd,Utilities,$152.37 M,GNX.AX,-51.11,0.529011156226511
640,790,BKT,Black Rock Mining Ltd,Materials,$151.47 M,BKT.AX,14.82,0.7780611030849793
641,792,RCE,Recce Pharmaceuticals Ltd,Health Care,$151 M,RCE.AX,-7.1,0.662134591926022
642,793,TNT,Tesserent Ltd,Information Technology,$150.98 M,TNT.AX,-51.02,0.6973182411435099
643,794,SXE,Southern Cross Electrical Engineering Ltd,Industrials,$150.8 M,SXE.AX,5.46,0.3461357980901157
644,796,CVL,Civmec Ltd,Industrials,$148.05 M,CVL.AX,-4.62,0.3655778768509445
645,797,AXE,Archer Materials Ltd,Information Technology,$147.84 M,AXE.AX,-34.62,0.9277009473007665
646,798,ERD,Eroad Ltd,Information Technology,$147.28 M,ERD.AX,-76.25,0.5763533118175663
647,800,RCT,Reef Casino Trust,Consumer Discretionary,$147.18 M,RCT.AX,18.11,0.4418088766557529
648,801,ERF,Elanor Retail Property Fund,Real Estate,$146.87 M,ERF.AX,-6.12,0.26192846462087555
649,802,COI,Comet Ridge Ltd,Energy,$146.21 M,COI.AX,174.19,0.7879935320630412
650,804,ALC,Alcidion Group Ltd,Health Care,$145.83 M,ALC.AX,-72.09,0.5789645675320804
651,805,MCA,Murray Cod Australia Ltd,Consumer Staples,$145.4 M,MCA.AX,-51.28,0.6905000214091114
652,806,SMP,Smartpay Holdings Ltd,Information Technology,$145.35 M,SMP.AX,-24.69,0.4070446506905908
