Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap
1763,MIL,Millennium Services Group Ltd,$0.27,-6.90%,0.00%,-27.03%,-50.91%,Industrials,$12.54 M
1764,IQ3,IQ3CORP Ltd,$0.12,0.00%,0.00%,0.00%,-20.00%,Financials,$12.52 M
1765,ALV,Alvo Minerals Ltd,$0.23,2.22%,2.22%,-8.00%,-8.00%,Materials,$12.43 M
1766,SKS,SKS Technologies Group Ltd,$0.12,-4.17%,-11.54%,-23.33%,-50.00%,Industrials,$12.42 M
1767,RNE,Renu Energy Ltd,$0.03,-5.56%,17.24%,-20.93%,-43.33%,Utilities,$12.4 M
1768,ALY,Alchemy Resources Ltd,$0.01,-7.14%,-13.33%,-51.85%,2.25%,Materials,$12.39 M
1769,TPP,Tempo Australia Ltd,$0.03,13.33%,-24.44%,-47.69%,-46.88%,Industrials,$12.38 M
1770,WML,Woomera Mining Ltd,$0.02,0.00%,0.00%,-25.00%,-9.25%,Materials,$12.36 M
1771,ARD,Argent Minerals Ltd,$0.01,0.00%,-12.50%,-36.36%,-64.10%,Materials,$12.36 M
1772,BMG,BMG Resources Ltd,$0.03,3.23%,-11.11%,-31.92%,-36.00%,Materials,$12.35 M
1773,PUR,Pursuit Minerals Ltd,$0.01,-7.14%,-23.53%,-40.91%,-80.30%,Materials,$12.33 M
1774,RNT,Rent.com.Au Ltd,$0.03,0.00%,-3.45%,-26.32%,-77.60%,Communication Services,$12.33 M
1775,TOR,Torque Metals Ltd,$0.20,0.00%,2.63%,-11.36%,-11.36%,Materials,$12.3 M
1776,CM8,Crowd Media Holdings Ltd,$0.02,-5.56%,-26.09%,-52.78%,-26.09%,Communication Services,$12.24 M
1777,AJQ,Armour Energy Ltd,$0.01,-7.69%,0.00%,0.00%,-76.00%,Energy,$12.24 M
1778,ZGL,ZICOM Group Ltd,$0.06,0.00%,-1.72%,-12.31%,-8.07%,Industrials,$12.23 M
1779,SIH,Sihayo Gold Ltd,$0.00,-20.00%,-20.00%,-33.33%,-77.78%,Materials,$12.2 M
1780,OVT,Ovato Ltd,$0.10,-9.09%,-4.76%,-23.08%,-50.00%,Industrials,$12.16 M
1781,BMR,Ballymore Resources Ltd,$0.17,0.00%,-14.29%,-17.50%,-17.50%,Materials,$12.12 M
1782,HMG,Hamelin Gold Ltd,$0.11,4.76%,-4.35%,-15.39%,-45.00%,Materials,$12.1 M
1783,CHR,Charger Metals NL,$0.37,-5.13%,-5.13%,-32.73%,85.00%,Materials,$12.05 M
1784,LRV,Larvotto Resources Ltd,$0.29,3.57%,26.09%,-12.12%,45.00%,Materials,$12.04 M
1785,NUH,Nuheara Ltd,$0.12,0.00%,4.35%,-7.69%,-86.96%,Information Technology,$12.03 M
1786,AUN,Aurumin Ltd,$0.11,0.00%,-12.00%,-37.14%,-40.54%,Materials,$12.01 M
1787,AKO,Akora Resources Ltd,$0.19,2.70%,-13.64%,-20.83%,-20.83%,Materials,$11.99 M
1788,QML,Qmines Ltd,$0.18,-2.70%,-7.69%,-25.00%,-47.06%,Materials,$11.97 M
